"","Curso","Turno","Ensino médio","Opinião","Renda","Nota ENEM","IAA"
"6107","Química","Diurno","Somente em pública","Indiferente",1.39,637,5.614
"6108","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,182,2.596
"6109","Computação","Noturno","Somente em pública","Muito satisfeito",1.04,335,3.483
"6110","Química","Integral","Maior parte em particular","Indiferente",1.36,604,5.613
"6111","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.05,500,4.871
"6112","Química","Integral","Maior parte em particular","Insatisfeito",2.13,562,5.022
"6113","Produção","Diurno","Somente em pública","Indiferente",1.84,457,4.625
"6114","Química","Noturno","Somente em pública","Muito satisfeito",1.03,650,5.372
"6115","Computação","Noturno","Somente em pública","Satisfeito",1.26,382,4.359
"6116","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.99,697,5.722
"6117","Mecânica","Diurno","Somente em pública","Insatisfeito",1.75,487,4.423
"6118","Química","Diurno","Somente em pública","Satisfeito",1.84,458,4.539
"6119","Elétrica","Noturno","Somente em pública","Indiferente",1.07,500,4.656
"6120","Mecânica","Diurno","Somente em pública","Muito satisfeito",1.08,530,4.856
"6121","Computação","Noturno","Somente em particular","Muito satisfeito",1.1,376,4.094
"6122","Elétrica","Noturno","Somente em pública","Muito satisfeito",1,226,2.837
"6123","Produção","Diurno","Somente em pública","Indiferente",2.85,556,5.067
"6124","Computação","Diurno","Somente em pública","Muito satisfeito",1.24,490,4.729
"6125","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,383,4.185
"6126","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.42,427,4.328
"6127","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.17,466,4.536
"6128","Química","Diurno","Somente em pública","Satisfeito",1.17,475,4.431
"6129","Computação","Diurno","Somente em pública","Indiferente",1.43,575,5.475
"6130","Elétrica","Diurno","Somente em pública","Muito satisfeito",1.16,250,3.026
"6131","Química","Diurno","Somente em pública","Satisfeito",1.83,431,3.937
"6132","Produção","Integral","Somente em pública","Indiferente",1.38,547,4.914
"6133","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,268,3.557
"6134","Produção","Integral","Maior parte em pública","Muito insatisfeito",5.26,643,5.687
"6135","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",9.55,880,7.642
"6136","Produção","Noturno","Somente em pública","Satisfeito",1.44,548,4.94
"6137","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.18,350,3.859
"6138","Computação","Noturno","Somente em particular","Muito satisfeito",1.03,367,4.392
"6139","Computação","Noturno","Somente em pública","Muito satisfeito",1.98,562,4.763
"6140","Civil","Diurno","Somente em pública","Satisfeito",1.39,500,4.583
"6141","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.1,590,5.575
"6142","Química","Noturno","Somente em particular","Muito satisfeito",1.22,670,5.878
"6143","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.03,382,4.145
"6144","Química","Diurno","Somente em pública","Satisfeito",1.18,562,5.669
"6145","Química","Diurno","Somente em pública","Satisfeito",1.51,530,5.108
"6146","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.04,367,3.823
"6147","Civil","Diurno","Somente em pública","Insatisfeito",2.12,509,4.804
"6148","Civil","Diurno","Maior parte em particular","Satisfeito",1.24,713,6.258
"6149","Produção","Diurno","Somente em pública","Satisfeito",2.28,581,5.033
"6150","Computação","Integral","Somente em pública","Satisfeito",1.98,629,5.671
"6151","Computação","Noturno","Somente em pública","Muito satisfeito",1.02,358,3.958
"6152","Civil","Noturno","Somente em pública","Muito satisfeito",1.07,364,3.396
"6153","Produção","Diurno","Somente em pública","Satisfeito",1.4,298,3.599
"6154","Química","Noturno","Somente em pública","Satisfeito",1.58,577,4.972
"6155","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.02,458,4.359
"6156","Química","Noturno","Somente em pública","Muito satisfeito",1.25,391,3.736
"6157","Química","Integral","Maior parte em pública","Insatisfeito",1.79,478,4.371
"6158","Química","Noturno","Somente em pública","Muito satisfeito",1.04,346,3.932
"6159","Computação","Noturno","Somente em pública","Muito satisfeito",1.01,223,2.44
"6160","Civil","Diurno","Somente em pública","Muito satisfeito",1.43,407,3.583
"6161","Química","Diurno","Somente em pública","Satisfeito",1.6,299,3.275
"6162","Computação","Noturno","Somente em pública","Muito satisfeito",1.37,491,4.48
"6163","Produção","Integral","Maior parte em particular","Insatisfeito",1.17,515,4.249
"6164","Civil","Diurno","Somente em pública","Muito satisfeito",1.23,365,3.518
"6165","Química","Noturno","Somente em pública","Muito satisfeito",1.04,622,5.514
"6166","Mecânica","Integral","Maior parte em particular","Insatisfeito",3.4,782,6.649
"6167","Mecânica","Diurno","Somente em pública","Insatisfeito",2.05,586,5.667
"6168","Civil","Diurno","Somente em pública","Satisfeito",1.07,479,4.504
"6169","Produção","Diurno","Somente em pública","Satisfeito",1.35,499,4.906
"6170","Civil","Diurno","Somente em pública","Muito satisfeito",1.03,310,3.043
"6171","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.1,247,3.071
"6172","Produção","Noturno","Somente em pública","Muito satisfeito",1.09,253,3.155
"6173","Computação","Diurno","Somente em pública","Indiferente",1.64,578,4.967
"6174","Mecânica","Integral","Somente em pública","Insatisfeito",3.59,653,5.544
"6175","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.07,439,3.848
"6176","Produção","Integral","Maior parte em particular","Muito insatisfeito",4.05,536,4.492
"6177","Produção","Integral","Somente em pública","Satisfeito",2.22,424,3.991
"6178","Computação","Noturno","Somente em particular","Muito satisfeito",1,364,3.978
"6179","Elétrica","Diurno","Somente em pública","Satisfeito",1.35,487,4.766
"6180","Mecânica","Integral","Maior parte em pública","Insatisfeito",3.47,718,5.877
"6181","Produção","Noturno","Somente em pública","Satisfeito",1.13,514,4.682
"6182","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,331,3.799
"6183","Civil","Integral","Somente em pública","Indiferente",2.4,500,4.802
"6184","Química","Noturno","Somente em particular","Muito satisfeito",1.28,497,4.715
"6185","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",6.53,691,5.796
"6186","Produção","Integral","Somente em pública","Muito satisfeito",1.12,505,4.979
"6187","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.36,308,3.616
"6188","Civil","Noturno","Somente em particular","Muito satisfeito",1.04,335,3.471
"6189","Química","Noturno","Somente em pública","Muito satisfeito",1.06,454,4.627
"6190","Civil","Noturno","Somente em pública","Muito satisfeito",1.03,362,3.61
"6191","Computação","Diurno","Somente em pública","Satisfeito",1.22,571,5.039
"6192","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.09,500,4.572
"6193","Computação","Noturno","Somente em pública","Muito satisfeito",1.01,203,2.915
"6194","Mecânica","Noturno","Somente em pública","Muito satisfeito",1.05,431,3.874
"6195","Produção","Integral","Somente em pública","Insatisfeito",1.64,596,5.019
"6196","Civil","Noturno","Somente em pública","Muito satisfeito",1.02,398,4.269
"6197","Computação","Noturno","Somente em particular","Muito satisfeito",1.02,385,4.28
"6198","Química","Noturno","Somente em pública","Satisfeito",1.07,620,5.791
"6199","Civil","Diurno","Somente em pública","Indiferente",1.74,583,5.195
"6200","Mecânica","Diurno","Somente em pública","Insatisfeito",2.28,545,4.778
"6201","Química","Noturno","Somente em pública","Muito satisfeito",1.19,413,4.003
"6202","Química","Noturno","Somente em pública","Muito satisfeito",1.02,349,3.862
"6203","Química","Noturno","Somente em pública","Muito satisfeito",1.09,484,4.423
"6204","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.22,362,4.043
"6205","Química","Integral","Maior parte em particular","Insatisfeito",1.98,598,5.779
"6206","Produção","Diurno","Maior parte em particular","Indiferente",1.94,583,4.822
"6207","Química","Diurno","Somente em pública","Satisfeito",1.2,532,5.308
"6208","Produção","Integral","Maior parte em particular","Indiferente",1.47,650,5.441
"6209","Química","Diurno","Somente em pública","Indiferente",1.38,479,4.559
"6210","Elétrica","Diurno","Somente em pública","Satisfeito",1.33,680,5.856
"6211","Civil","Noturno","Somente em particular","Muito satisfeito",1.1,394,4.001
"6212","Computação","Noturno","Somente em particular","Muito satisfeito",1.16,155,2.121
"6213","Civil","Diurno","Somente em pública","Satisfeito",1.32,361,3.999
"6214","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.26,620,5.531
"6215","Produção","Diurno","Maior parte em particular","Indiferente",1.12,578,5.068
"6216","Produção","Noturno","Somente em pública","Muito satisfeito",1.1,320,3.147
"6217","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.32,544,4.315
"6218","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.91,709,6.116
"6219","Computação","Diurno","Maior parte em particular","Indiferente",1.34,383,4.335
"6220","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,199,2.499
"6221","Produção","Diurno","Somente em pública","Indiferente",2.04,581,5.19
"6222","Química","Diurno","Somente em pública","Muito satisfeito",1.08,416,4.046
"6223","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.93,655,5.746
"6224","Produção","Noturno","Somente em pública","Satisfeito",1.2,574,5.423
"6225","Mecânica","Diurno","Maior parte em particular","Indiferente",1.05,848,6.607
"6226","Química","Diurno","Somente em pública","Muito satisfeito",2.39,373,4.206
"6227","Química","Noturno","Somente em pública","Muito satisfeito",1.02,392,3.868
"6228","Civil","Diurno","Somente em pública","Satisfeito",1.18,362,3.656
"6229","Civil","Diurno","Somente em pública","Indiferente",1.61,593,5.509
"6230","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.52,655,5.722
"6231","Civil","Noturno","Somente em pública","Satisfeito",1.53,386,3.999
"6232","Computação","Noturno","Somente em particular","Muito satisfeito",1.04,473,4.95
"6233","Computação","Noturno","Somente em pública","Muito satisfeito",1.17,259,2.511
"6234","Mecânica","Integral","Somente em pública","Satisfeito",1.3,547,4.875
"6235","Mecânica","Diurno","Somente em pública","Satisfeito",1.39,332,3.74
"6236","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",5.71,754,6.421
"6237","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.08,340,3.513
"6238","Produção","Integral","Maior parte em particular","Insatisfeito",1.31,551,4.976
"6239","Civil","Noturno","Somente em pública","Indiferente",1.64,454,4.714
"6240","Computação","Noturno","Somente em pública","Muito satisfeito",1,328,3.7
"6241","Mecânica","Integral","Maior parte em pública","Insatisfeito",3.89,839,6.764
"6242","Computação","Diurno","Somente em pública","Satisfeito",1.78,433,4.17
"6243","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.15,398,3.955
"6244","Produção","Integral","Maior parte em pública","Insatisfeito",1.61,761,6.255
"6245","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.01,361,3.611
"6246","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.52,766,6.277
"6247","Produção","Integral","Maior parte em pública","Muito insatisfeito",2.45,710,6.098
"6248","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",1.21,379,4.294
"6249","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,491,4.576
"6250","Civil","Diurno","Somente em pública","Muito satisfeito",1.12,361,3.954
"6251","Química","Noturno","Somente em pública","Satisfeito",1.17,470,4.516
"6252","Química","Noturno","Somente em particular","Muito satisfeito",1.37,718,5.76
"6253","Mecânica","Integral","Somente em pública","Insatisfeito",4.13,602,5.479
"6254","Química","Noturno","Somente em pública","Satisfeito",1.38,377,3.513
"6255","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",1.36,527,4.845
"6256","Mecânica","Integral","Maior parte em pública","Insatisfeito",2,709,6.056
"6257","Computação","Noturno","Somente em pública","Satisfeito",1.19,382,3.844
"6258","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.4,572,5.44
"6259","Computação","Noturno","Somente em particular","Muito satisfeito",1,532,5.067
"6260","Produção","Noturno","Somente em pública","Satisfeito",1.35,667,5.75
"6261","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.03,440,4.504
"6262","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.19,332,3.626
"6263","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.07,509,4.459
"6264","Produção","Diurno","Somente em pública","Indiferente",1.81,730,6.122
"6265","Produção","Diurno","Somente em pública","Satisfeito",1.4,695,5.881
"6266","Produção","Integral","Maior parte em pública","Insatisfeito",1.31,569,4.474
"6267","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.68,818,6.901
"6268","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.61,397,4.389
"6269","Química","Diurno","Somente em pública","Indiferente",1.59,499,4.332
"6270","Computação","Noturno","Somente em pública","Muito satisfeito",1.05,554,5.108
"6271","Produção","Noturno","Somente em pública","Satisfeito",1.19,629,5.11
"6272","Química","Noturno","Somente em pública","Muito satisfeito",1.04,277,3.199
"6273","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,292,3.089
"6274","Química","Noturno","Somente em pública","Satisfeito",1.04,434,4.573
"6275","Computação","Diurno","Somente em pública","Satisfeito",1.73,527,4.609
"6276","Mecânica","Integral","Maior parte em particular","Insatisfeito",3.89,799,6.971
"6277","Química","Integral","Somente em pública","Satisfeito",1.76,281,2.695
"6278","Mecânica","Integral","Maior parte em particular","Indiferente",1.41,478,4.45
"6279","Produção","Diurno","Somente em pública","Satisfeito",1.43,449,4.13
"6280","Química","Noturno","Somente em particular","Muito satisfeito",1.12,640,5.498
"6281","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,121,2.185
"6282","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.35,566,4.993
"6283","Produção","Diurno","Maior parte em particular","Insatisfeito",2.13,550,5.085
"6284","Mecânica","Integral","Maior parte em particular","Indiferente",2.54,550,4.924
"6285","Produção","Integral","Somente em pública","Satisfeito",2.16,640,5.579
"6286","Química","Integral","Maior parte em particular","Insatisfeito",2.11,758,6.362
"6287","Química","Integral","Maior parte em pública","Insatisfeito",1.36,608,5.401
"6288","Química","Integral","Maior parte em particular","Insatisfeito",1.74,769,6.188
"6289","Computação","Noturno","Somente em particular","Muito satisfeito",1.02,100,2.344
"6290","Produção","Diurno","Somente em pública","Satisfeito",1.84,464,4.819
"6291","Produção","Integral","Somente em pública","Indiferente",4.02,769,6.615
"6292","Computação","Diurno","Somente em pública","Indiferente",1.23,601,5.288
"6293","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,145,2.679
"6294","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.48,526,4.573
"6295","Elétrica","Noturno","Somente em particular","Muito satisfeito",2,445,4.379
"6296","Química","Noturno","Somente em pública","Muito satisfeito",1.04,529,4.68
"6297","Química","Integral","Maior parte em particular","Indiferente",2.42,443,4.231
"6298","Química","Diurno","Maior parte em pública","Insatisfeito",1.15,412,4.213
"6299","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.35,434,4.16
"6300","Produção","Integral","Maior parte em pública","Insatisfeito",3.69,661,5.788
"6301","Química","Diurno","Somente em pública","Satisfeito",1.06,481,4.521
"6302","Química","Noturno","Somente em pública","Satisfeito",1.38,407,3.615
"6303","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.71,457,4.22
"6304","Civil","Noturno","Somente em particular","Muito satisfeito",1.31,385,3.433
"6305","Produção","Integral","Maior parte em particular","Insatisfeito",1.94,503,4.804
"6306","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.47,601,5.256
"6307","Computação","Noturno","Somente em pública","Satisfeito",1.05,340,3.842
"6308","Mecânica","Diurno","Somente em pública","Satisfeito",1.05,527,4.188
"6309","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.03,386,4.089
"6310","Civil","Integral","Maior parte em pública","Indiferente",1.15,499,4.847
"6311","Civil","Diurno","Somente em pública","Satisfeito",1.19,413,4.158
"6312","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,236,2.784
"6313","Elétrica","Diurno","Somente em pública","Satisfeito",1.4,548,5.187
"6314","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.01,401,3.934
"6315","Produção","Diurno","Somente em pública","Insatisfeito",2.45,670,5.692
"6316","Civil","Noturno","Somente em pública","Muito satisfeito",1.05,520,4.934
"6317","Computação","Noturno","Somente em pública","Muito satisfeito",1.05,475,4.433
"6318","Mecânica","Diurno","Somente em pública","Insatisfeito",1.47,704,5.961
"6319","Civil","Diurno","Somente em pública","Satisfeito",1.26,533,4.5
"6320","Computação","Noturno","Somente em pública","Muito satisfeito",1.03,368,3.496
"6321","Elétrica","Noturno",NA,"Muito satisfeito",1,323,3.529
"6322","Produção","Integral","Maior parte em particular","Indiferente",1.29,605,5.697
"6323","Civil","Diurno","Somente em particular","Muito satisfeito",2.19,619,5.065
"6324","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.06,229,2.842
"6325","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",10.72,1039,8.219
"6326","Produção","Noturno","Somente em pública","Muito satisfeito",1.08,377,4.159
"6327","Química","Integral","Somente em pública","Indiferente",2.23,497,4.593
"6328","Computação","Diurno","Somente em pública","Muito satisfeito",1.42,593,5.266
"6329","Mecânica","Noturno","Somente em pública","Indiferente",1.11,445,4.429
"6330","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.44,755,6.28
"6331","Mecânica","Diurno","Somente em pública","Satisfeito",1.74,647,5.193
"6332","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,185,2.993
"6333","Produção","Diurno","Somente em pública","Indiferente",2.48,584,5.079
"6334","Mecânica","Diurno","Somente em pública","Satisfeito",1.05,590,5.209
"6335","Química","Noturno","Somente em pública","Satisfeito",1.13,482,4.361
"6336","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,536,4.9
"6337","Química","Noturno","Somente em particular","Muito satisfeito",1.06,386,3.922
"6338","Computação","Noturno","Somente em pública","Muito satisfeito",1.17,440,4.098
"6339","Produção",NA,"Maior parte em pública","Muito insatisfeito",1.58,647,5.702
"6340","Computação","Diurno","Somente em pública","Muito satisfeito",1.17,460,4.684
"6341","Mecânica","Noturno","Somente em pública","Indiferente",1.23,481,4.801
"6342","Produção","Integral","Maior parte em pública","Insatisfeito",1.99,679,6.037
"6343","Civil","Noturno","Somente em pública","Muito satisfeito",1.1,304,2.998
"6344","Civil","Noturno","Somente em pública","Muito satisfeito",1.02,346,3.267
"6345","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.06,427,3.968
"6346","Civil","Diurno","Somente em pública","Satisfeito",1.95,520,4.969
"6347","Química","Integral","Maior parte em particular","Insatisfeito",4.84,731,6.018
"6348","Química","Diurno","Somente em pública","Satisfeito",1.12,454,4.535
"6349","Química","Integral","Somente em pública","Satisfeito",2.79,644,5.557
"6350","Civil","Diurno","Somente em pública","Satisfeito",1.22,493,4.94
"6351","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.05,347,3.302
"6352","Química","Integral","Somente em pública","Indiferente",1.74,680,5.728
"6353","Química","Integral","Somente em pública","Indiferente",1.99,565,5.146
"6354","Produção","Noturno","Somente em pública","Muito satisfeito",1.02,472,4.536
"6355","Química","Diurno","Somente em pública","Muito satisfeito",1.05,580,5.2
"6356","Elétrica","Diurno","Somente em pública","Indiferente",1.22,496,4.822
"6357","Mecânica","Integral","Somente em pública","Insatisfeito",3.17,694,5.283
"6358","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,88,2.209
"6359","Química","Integral","Somente em pública","Insatisfeito",3.2,743,6.374
"6360","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,370,3.415
"6361","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,506,4.358
"6362","Computação","Noturno","Somente em pública","Muito satisfeito",1.08,289,2.991
"6363","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.04,296,3.215
"6364","Química","Noturno","Somente em pública","Muito satisfeito",1.96,490,4.304
"6365","Produção","Noturno","Somente em particular","Muito satisfeito",1.03,410,4.411
"6366","Química","Noturno","Somente em pública","Muito satisfeito",1.01,254,2.84
"6367","Computação","Diurno","Somente em pública","Insatisfeito",2.42,601,5.267
"6368","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",2.6,592,5.528
"6369","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.47,679,5.701
"6370","Mecânica","Integral","Somente em pública","Muito satisfeito",1.17,551,5.076
"6371","Computação","Noturno","Somente em particular","Muito satisfeito",1,490,4.433
"6372","Produção","Integral","Somente em pública","Insatisfeito",3.2,668,5.311
"6373","Elétrica","Diurno","Somente em pública","Satisfeito",3.09,536,4.616
"6374","Produção","Noturno","Somente em particular","Muito satisfeito",1.29,629,5.293
"6375","Química","Integral","Somente em pública","Indiferente",2.13,616,5.459
"6376","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.12,347,3.982
"6377","Química","Noturno","Somente em pública","Muito satisfeito",1.08,394,3.942
"6378","Produção","Integral","Maior parte em pública","Muito insatisfeito",3.76,727,6.026
"6379","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.28,682,5.572
"6380","Civil","Noturno","Somente em particular","Muito satisfeito",1.28,472,4.415
"6381","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.33,668,5.575
"6382","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.39,530,4.719
"6383","Civil","Noturno","Somente em pública","Muito satisfeito",1.17,379,3.834
"6384","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.07,811,6.739
"6385","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,389,3.778
"6386","Civil","Noturno","Somente em particular","Muito satisfeito",1.04,298,3.447
"6387","Química","Noturno","Somente em pública","Satisfeito",1.08,490,4.565
"6388","Computação","Noturno","Somente em pública","Muito satisfeito",1.18,487,4.239
"6389","Química","Noturno","Somente em pública","Muito satisfeito",1.02,494,4.736
"6390","Computação","Noturno","Somente em pública","Muito satisfeito",1.18,367,3.733
"6391","Computação","Diurno","Somente em pública","Satisfeito",1.23,265,3.052
"6392","Química","Noturno","Somente em particular","Muito satisfeito",1.09,539,4.801
"6393","Produção","Integral","Maior parte em pública","Muito insatisfeito",5.22,851,6.863
"6394","Química","Diurno","Maior parte em pública","Indiferente",1.26,499,4.625
"6395","Elétrica","Diurno","Somente em pública","Satisfeito",1.42,341,3.404
"6396","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.02,277,3.318
"6397","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.18,376,3.567
"6398","Química","Noturno","Maior parte em particular","Satisfeito",1.17,467,4.792
"6399","Química","Noturno","Somente em pública","Muito satisfeito",1.02,296,3.008
"6400","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",1.54,584,5.229
"6401","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",4.74,788,6.761
"6402","Química","Diurno","Somente em pública","Satisfeito",1.24,511,4.863
"6403","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,18,1.553
"6404","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.35,530,4.537
"6405","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",7.74,811,7.157
"6406","Produção","Diurno","Somente em pública","Satisfeito",1.14,629,5.226
"6407","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.59,481,4.035
"6408","Produção","Noturno","Somente em particular","Muito satisfeito",1.07,430,4.26
"6409","Química","Noturno","Somente em particular","Muito satisfeito",1.69,545,4.918
"6410","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.33,590,5.476
"6411","Produção","Diurno","Maior parte em particular","Satisfeito",1.1,334,3.079
"6412","Civil","Noturno","Somente em pública","Muito satisfeito",1.39,404,4.171
"6413","Química","Noturno","Somente em pública","Muito satisfeito",2.02,358,4.103
"6414","Produção","Noturno","Somente em pública","Satisfeito",1.84,485,4.585
"6415","Computação","Diurno","Somente em pública","Satisfeito",1.99,670,6.007
"6416","Química","Diurno","Somente em pública","Indiferente",2.16,840,6.661
"6417","Civil","Noturno","Somente em particular","Muito satisfeito",1.03,121,2.35
"6418","Computação","Noturno","Maior parte em particular","Satisfeito",1.03,416,4.225
"6419","Produção","Integral","Maior parte em pública","Insatisfeito",1.83,395,3.87
"6420","Produção","Diurno","Somente em pública","Satisfeito",1.05,436,3.846
"6421","Química","Diurno","Maior parte em particular","Indiferente",1.17,406,4.266
"6422","Química","Noturno","Somente em particular","Muito satisfeito",1.18,446,4.304
"6423","Química","Diurno","Maior parte em particular","Indiferente",1.23,455,4.115
"6424","Elétrica","Noturno","Somente em pública","Satisfeito",1.32,848,6.92
"6425","Produção","Integral","Maior parte em particular","Muito insatisfeito",4.71,539,4.889
"6426","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.47,553,4.773
"6427","Química","Integral","Somente em pública","Satisfeito",1.22,407,4.307
"6428","Computação","Noturno","Somente em pública","Muito satisfeito",2.34,398,3.792
"6429","Computação","Noturno","Somente em particular","Muito satisfeito",1.04,361,3.662
"6430","Química","Noturno","Somente em pública","Muito satisfeito",1.18,358,3.855
"6431","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.35,496,4.46
"6432","Computação","Noturno","Somente em pública","Muito satisfeito",1.14,416,4.281
"6433","Química","Diurno","Somente em pública","Satisfeito",1.34,661,5.879
"6434","Produção","Integral","Somente em pública","Indiferente",2.22,494,4.603
"6435","Mecânica","Integral","Somente em pública","Insatisfeito",2.88,659,5.792
"6436","Produção","Noturno","Somente em pública","Satisfeito",1.2,412,4.359
"6437","Civil","Integral","Maior parte em pública","Insatisfeito",1.34,436,4.061
"6438","Química","Integral","Maior parte em pública","Indiferente",1.12,599,5.037
"6439","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.3,694,6.325
"6440","Civil","Noturno","Somente em pública","Muito satisfeito",1.08,353,3.776
"6441","Produção","Integral","Maior parte em pública","Muito insatisfeito",5.6,674,5.381
"6442","Computação","Diurno","Maior parte em particular","Indiferente",1.66,523,5.073
"6443","Produção","Diurno","Somente em pública","Insatisfeito",2.15,527,4.667
"6444","Química","Diurno","Somente em pública","Satisfeito",1.25,665,6.007
"6445","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.51,527,4.562
"6446","Produção","Integral","Maior parte em particular","Muito insatisfeito",2.4,533,5.225
"6447","Química","Noturno","Somente em pública","Satisfeito",1.22,458,4.476
"6448","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.29,517,4.52
"6449","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.37,535,4.732
"6450","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.78,752,6.023
"6451","Produção","Diurno","Somente em pública","Indiferente",2.08,488,5.179
"6452","Produção","Noturno","Somente em particular","Satisfeito",1.15,359,3.756
"6453","Civil","Noturno","Somente em pública","Muito satisfeito",1.08,319,3.051
"6454","Computação","Noturno","Somente em particular","Muito satisfeito",1,220,2.737
"6455","Civil","Noturno","Somente em pública","Muito satisfeito",1.12,445,4.309
"6456","Mecânica","Diurno","Somente em pública","Insatisfeito",2.77,674,5.689
"6457","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.92,767,6.201
"6458","Produção","Diurno","Somente em pública","Indiferente",1.63,377,4.116
"6459","Produção","Diurno","Somente em pública","Insatisfeito",2.45,610,5.561
"6460","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.83,581,5.181
"6461","Produção","Integral","Maior parte em pública","Muito insatisfeito",3.28,638,5.575
"6462","Computação","Diurno","Somente em pública","Satisfeito",1.39,317,2.942
"6463","Computação","Noturno","Somente em pública","Muito satisfeito",1.04,674,5.921
"6464","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.45,823,6.627
"6465","Mecânica","Integral","Somente em pública","Insatisfeito",6.89,682,6.179
"6466","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.07,329,3.88
